ID,IDADE,FAIXA IDADE,GENERO,COR/RACA/ETNIA,PCD,EXPERIENCIA_PROFISSIONAL_PREJUDICADA,ASPECTOS_PREJUDICADOS,VIVE_NO_BRASIL,ESTADO ONDE MORA,UF ONDE MORA,REGIAO ONDE MORA,MUDOU DE ESTADO?,REGIAO DE ORIGEM,NIVEL DE ENSINO,ÁREA DE FORMAÇÃO,QUAL SUA SITUAÇÃO ATUAL DE TRABALHO?,SETOR,NUMERO DE FUNCIONARIOS,GESTOR?,CARGO COMO GESTOR,CARGO ATUAL,FAIXA SALARIAL,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE DADOS VOCÊ TEM?,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE TI/ENGENHARIA DE SOFTWARE VOCÊ TEVE ANTES DE COMEÇAR A TRABALHAR NA ÁREA DE DADOS?,SALARIO,NOVO_NIVEL,NIVEL_Júnior,NIVEL_Pleno,NIVEL_Sênior,GEARACAO,Quanto tempo de experiência na área de dados você tem?,Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?,Você está satisfeito na sua empresa atual?,Qual o principal motivo da sua insatisfação com a empresa atual?,Você participou de entrevistas de emprego nos últimos 6 meses?,Você pretende mudar de emprego nos próximos 6 meses?,Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?,Atualmente qual a sua forma de trabalho?,Qual a forma de trabalho ideal para você?,Caso sua empresa decida pelo modelo 100% presencial qual será sua atitude?,Sua empresa passu por Layoff em 2022?,Atuacao,Quais das linguagens listadas abaixo você utiliza no trabalho?,EM_BUSCA,ABERTO_OPORTUNIDADES
zzqzz3l9ily8nuo2m7wyzzqzz3w48o96,39.0,35-39,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,Distrito Federal (DF),DF,Centro-oeste,0.0,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Setor Público,Acima de 3.000,0.0,,DBA/Administrador de Banco de Dados,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,de 7 a 10 anos,11194,Júnior,TRUE,FALSE,FALSE,Millenial,de 1 a 2 anos,de 7 a 10 anos,TRUE,,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,Benefícios,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,Vou aceitar e retornar ao modelo 100% presencial,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Engenharia de Dados,SQL,FALSE,FALSE
zzls2oftfn9law393oezzls2ofhvfpzd,32.0,30-34,Masculino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",Aprovação em processos seletivos/entrevistas,TRUE,Pará (PA),PA,Norte,1.0,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Outra Opção,Acima de 3.000,1.0,Supervisor/Coordenador,,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Menos de 1 ano,4695,Pessoa Gestora,FALSE,FALSE,FALSE,Millenial,de 3 a 4 anos,Menos de 1 ano,FALSE,Falta de oportunidade de crescimento no emprego atual,"Sim, fiz entrevistas mas não fui aprovado",Estou em busca de oportunidades dentro ou fora do Brasil,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Reputação que a empresa tem no mercado",Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Vou aceitar e retornar ao modelo 100% presencial,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Gestor,,TRUE,FALSE
zzdwqzfqqp1ypc7ps6m0hzzdwqz292yi,53.0,50-54,Masculino,Branca,Não,,,TRUE,Distrito Federal (DF),DF,Centro-oeste,0.0,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,0.0,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Mais de 10 anos,14202,Pleno,FALSE,TRUE,FALSE,Geração X,de 3 a 4 anos,Mais de 10 anos,FALSE,Falta de oportunidade de crescimento no emprego atual,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Não estou buscando, mas me considero aberto a outras oportunidades","Remuneração/Salário, Flexibilidade de trabalho remoto",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Vou procurar outra oportunidade no modelo híbrido ou remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.,1,FALSE,TRUE
zzbqh3uy7yk7k9qmkzzbqtb4s9faqspl,27.0,25-29,Masculino,Branca,Não,,,TRUE,Minas Gerais (MG),MG,Sudeste,1.0,,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Setor Automotivo,Acima de 3.000,0.0,,Cientista de Dados/Data Scientist,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,15463,Sênior,FALSE,FALSE,TRUE,Geração Z,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,TRUE,,"Sim, fui aprovado e mudei de emprego","Não estou buscando, mas me considero aberto a outras oportunidades","Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Vou procurar outra oportunidade no modelo híbrido ou remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.,0,FALSE,TRUE
zzaf1m95yan929rb94wzzaf1mekhvhpg,46.0,45-49,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,Pará (PA),PA,Norte,1.0,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Setor Público,de 101 a 500,0.0,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 6.001/mês a R$ 8.000/mês,Não tenho experiência na área de dados,Mais de 10 anos,7733,Pleno,FALSE,TRUE,FALSE,Geração X,Não tenho experiência na área de dados,Mais de 10 anos,FALSE,"Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa, O clima de trabalho/ambiente não é bom",Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Não estou buscando, mas me considero aberto a outras oportunidades","Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% presencial,Modelo 100% presencial,Vou aceitar e retornar ao modelo 100% presencial,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Outra atuação,SQL,FALSE,TRUE
zz0nlhbd8oxyiyxzz0nlh7g4xkiaza5v,32.0,30-34,Feminino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,Ceará (CE),CE,Nordeste,1.0,,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Servidor Público,Educação,Acima de 3.000,0.0,,Professor,de R$ 2.001/mês a R$ 3.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,2336,Pleno,FALSE,TRUE,FALSE,Millenial,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,FALSE,"Gostaria de trabalhar em em outra área de atuação, Gostaria de receber mais benefícios, Salário atual não corresponde ao mercado","Sim, fiz entrevistas mas não fui aprovado",Estou em busca de oportunidades dentro ou fora do Brasil,"Remuneração/Salário, Benefícios, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Vou aceitar e retornar ao modelo 100% presencial,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Outra atuação,Não utilizo nenhuma das linguagens listadas,TRUE,FALSE
zytlxsdgalh22cgrijvzytlxa49i8yzx,21.0,17-21,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,São Paulo (SP),SP,Sudeste,1.0,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,0.0,,Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Menos de 1 ano,4491,Júnior,TRUE,FALSE,FALSE,Geração Z,de 1 a 2 anos,Menos de 1 ano,TRUE,,"Sim, fui aprovado e mudei de emprego",Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,"Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional, Qualidade dos gestores e líderes",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Vou aceitar e retornar ao modelo 100% presencial,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Análise de Dados,"SQL, Python, SAS/Stata",FALSE,FALSE
zyc0twzno2sm5or5ovoxzyc0twz0300d,31.0,30-34,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,Rio Grande do Sul (RS),RS,Sul,1.0,,Graduação/Bacharelado,Ciências Sociais,Empregado (CLT),Tecnologia/Fábrica de Software,de 6 a 10,0.0,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Menos de 1 ano,2704,Júnior,TRUE,FALSE,FALSE,Millenial,Menos de 1 ano,Menos de 1 ano,FALSE,"Gostaria de trabalhar em em outra área de atuação, Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual",Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,Estou em busca de oportunidades dentro ou fora do Brasil,"Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto",Modelo 100% presencial,Modelo 100% remoto,Vou procurar outra oportunidade no modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Outra atuação,"SQL, JavaScript",TRUE,FALSE
zy4o5dk6iuxpdwgzy4o58xvd6ykwohrj,33.0,30-34,Masculino,Branca,Não,,,TRUE,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Tecnologia/Fábrica de Software,Acima de 3.000,0.0,,Analista de BI/BI Analyst,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,7112,Sênior,FALSE,FALSE,TRUE,Millenial,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,TRUE,,"Sim, fui aprovado e mudei de emprego",Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Flexibilidade de trabalho remoto",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Vou procurar outra oportunidade no modelo híbrido ou remoto,"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",Análise de Dados,"SQL, Visual Basic/VBA",FALSE,FALSE
zxc3d314cn1c2ovmzxc34ha7nkw1na3j,31.153.517.220.250.300,55+,Feminino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,Bahia (BA),BA,Nordeste,1.0,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Educação,Acima de 3.000,0.0,,Professor,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,10822,Pleno,FALSE,TRUE,FALSE,Millenial,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,TRUE,,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Não estou buscando, mas me considero aberto a outras oportunidades",Flexibilidade de trabalho remoto,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,Vou procurar outra oportunidade no modelo híbrido ou remoto,"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",Outra atuação,SQL,FALSE,TRUE
